X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.68,434.21046693200077,0.75,6,2,5,7,31,8,0,93.06,0.6927713808384576,2.2747000000000006,8.793549658760169,4,1,5,0,0,0,3,1,4
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0.7,411.1845865320007,0.2916666666666667,5,3,3,6,30,12,0,82.69,0.5047877346321323,4.628100000000003,8.108103292957756,0,0,0,2,1,3,0,0,0
CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,14.6,628.3036183680013,0.5,8,2,7,8,46,17,0,119.36000000000001,0.22848135203833123,7.239300000000007,9.404712892284547,3,3,6,1,0,1,1,1,2
C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)C36[C@@H](OC(=O)[C@@H]6O)OC4(C(=O)O5)[C@]21O,3.8,408.14203234800055,0.85,9,2,6,9,29,3,0,128.59,0.4084569903388224,-0.3402999999999995,8.827898773993129,2,4,6,0,0,0,2,4,6
C[C@@H]1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)C36[C@@H](OC(=O)[C@@H]6O)OC4(C(=O)O5)[C@@]12O,5.2,424.13694696800053,0.85,10,3,6,10,30,4,0,148.82,0.3140501117996527,-1.3694999999999982,8.863044761741367,2,4,6,0,0,0,2,4,6
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@@H]3C2)cc1,16.4,323.1303625320006,0.5333333333333333,6,2,3,7,22,4,0,78.50999999999999,0.8860379615947154,1.6298199999999994,7.578992039288727,1,1,2,1,0,1,1,1,2
CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,5.2,312.1950113880007,0.5555555555555556,5,1,4,5,23,4,0,50.160000000000004,0.9256729590726123,2.3183999999999996,8.529357304804241,0,2,2,1,1,2,0,2,2
CN[C@@H]1C[C@H]2OC(C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,790.0,482.19540531200073,0.32142857142857145,8,3,8,8,36,6,0,89.68,0.35578332432727927,3.844900000000002,8.709271555037294,0,3,3,3,2,5,0,1,1
CO[C@H]1C[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@H]3O[C@@H](C)C[C@@H](N(C)C)[C@H]3O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,1.05,687.4193763920017,0.9428571428571428,13,3,4,13,48,20,0,165.98,0.27419520694933036,1.9085000000000032,9.677876710786794,0,4,4,0,0,0,0,4,4
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1C2C,2.5,285.20926448400076,0.5789473684210527,2,1,3,2,21,7,0,23.47,0.8335259245753123,3.8826000000000027,8.763569147413053,1,1,2,1,0,1,0,1,1
CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(O)C1CC1,5.2,630.3451063200015,0.6666666666666666,10,5,4,11,44,17,0,161.48,0.20206140294132865,3.0962000000000023,9.16940631719855,2,0,2,1,1,2,2,0,2
O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1,7.54,366.1191270640005,0.2777777777777778,5,1,2,8,26,8,0,71.78,0.43327246729113755,4.124300000000003,7.3517301351307385,0,0,0,1,1,2,0,0,0
C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,2.6,287.1521435320006,0.29411764705882354,4,4,2,4,21,10,0,72.72,0.6579030127323875,2.3520000000000003,7.959853448940728,0,0,0,2,0,2,0,0,0
Nc1nc(C(=NO)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(C=C4CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,3.8,546.0603089240005,0.3684210526315789,12,5,4,17,36,8,0,178.51999999999998,0.1289157267110075,0.36319999999999997,7.8427370347693195,0,3,3,0,1,1,0,2,2
CCCCC[C@@H](O)CC[C@H]1[C@@H]2Cc3cccc(OCC(=O)O)c3C[C@@H]2C[C@@H]1O,0.82,390.2406241880009,0.6956521739130435,5,3,3,5,28,13,0,86.99,0.5316657232858428,3.5832000000000024,8.78469131233875,2,0,2,1,0,1,1,0,1
O=C(/C=C\c1ccc(O)c(O)c1)O[C@@]1(C(=O)O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1,1.37,516.1267762080005,0.24,12,7,3,12,37,13,0,211.27999999999997,0.15620953074410895,1.0295999999999996,8.2445342384421,1,0,1,2,0,2,1,0,1
O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H]1[C@@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,0.57,516.1267762080005,0.24,12,7,3,12,37,13,0,211.27999999999997,0.15620953074410882,1.0295999999999996,8.23764324694182,1,0,1,2,0,2,1,0,1
O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O,3.17,516.1267762080005,0.24,12,7,3,12,37,13,0,211.27999999999997,0.15620953074410882,1.0295999999999996,7.906468802624322,1,0,1,2,0,2,1,0,1
CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)N[O-])cc2)oc2ccccc12,5.9,396.15649438391057,0.23809523809523808,8,2,3,8,29,10,0,106.87,0.44759537045894526,2.5308,7.836208700387644,0,0,0,2,1,3,0,0,0
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,3.5,336.2049073760008,0.5555555555555556,6,3,1,6,24,15,0,87.66,0.5710137425129463,2.3655,7.90465794027098,0,0,0,1,0,1,0,0,0
CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@@]45C[C@H]([C@@H]2[C@H]5O)N3[C@@H]1O,7.3,326.1994280720007,0.7,4,2,7,4,24,5,0,46.94,0.8220901729914653,1.5545,9.29932227474008,1,5,6,1,0,1,1,4,5
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,2.4,239.152143532,0.5384615384615384,4,4,1,4,17,7,0,72.72,0.6389509580864461,1.3059999999999998,7.694743495485973,0,0,0,1,0,1,0,0,0
C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C\CO)c7ccccc7N(/C=C(/[C@@H](C[C@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,3.6,666.3922796801814,0.45454545454545453,6,2,11,6,50,8,0,46.94,0.31722605105983087,5.475600000000007,9.667160124057538,2,7,9,2,0,2,2,4,6
COc1cc2nc(N(C)CCCNC(=O)[C@@H]3CCCO3)nc(N)c2cc1OC,4.8,389.2063043440008,0.5263157894736842,9,3,3,9,28,12,0,111.83,0.6509374244824966,1.3507000000000002,7.46996758523162,0,1,1,1,1,2,0,1,1
C=CCN1CCC[C@@H]1CNC(=O)c1cc2[nH]nnc2cc1OC,2.8,315.16952491200055,0.4375,7,2,3,7,23,7,0,83.14,0.7862485122999675,1.3466999999999996,6.949275564445206,0,1,1,1,1,2,0,1,1
CNC(=O)[C@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,34.3,512.2286775120008,0.3448275862068966,5,1,4,8,37,11,0,50.80000000000001,0.41821270308955394,5.7419000000000056,8.228318518500195,0,1,1,3,0,3,0,0,0
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,2.5,249.172878976,0.4666666666666667,3,2,1,3,18,11,0,41.49,0.6936807740895572,2.1528,7.936961264766528,0,0,0,1,0,1,0,0,0
CCCCC[C@H](O)/C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,1.9,354.2406241880009,0.8,5,3,1,5,25,16,0,94.83,0.34761269542578893,3.475100000000002,8.761370756171184,1,0,1,0,0,0,1,0,1
C[C@]1(c2cccc(O)c2)[CH]CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC1,5.3,409.21273240800076,0.375,6,3,3,6,30,10,1,89.87,0.6236490010521902,2.6195900000000005,8.305419148129468,0,1,1,2,0,2,0,1,1
CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,7.0,363.1219060240005,0.25,7,3,5,7,27,4,0,107.44,0.3933731224003214,1.6618000000000002,7.636912315496008,0,2,2,1,2,3,0,0,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1.1,365.1045417080005,0.4375,8,5,3,9,25,8,0,132.96,0.5530315284690744,0.023700000000000443,7.7029451085158955,0,2,2,1,0,1,0,2,2
CCNC(=O)[C@H]1C[C@H](n2ccc3c(N[C@H](CC)Cc4sccc4Cl)ncnc32)[C@H](O)[C@@H]1O,1.33,477.16013843600075,0.5,8,4,4,10,32,12,0,112.30000000000001,0.3965142122792757,2.9983000000000017,8.465826685649644,1,0,1,0,3,3,1,0,1
C[C@@H](N)Cc1ccccc1,7.3,135.104799416,0.3333333333333333,1,2,1,1,10,4,0,26.02,0.6542162175383444,1.5763,7.199534926469405,0,0,0,1,0,1,0,0,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.4,349.1096270880005,0.4375,7,4,3,8,24,7,0,112.73,0.674878289478739,0.3181000000000002,7.739486510562062,0,2,2,1,0,1,0,2,2
CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1.2,521.1369044560006,0.28,11,4,5,12,37,9,0,161.82,0.3517156524951388,1.4381999999999993,8.000420272614496,0,2,2,1,2,3,0,2,2
CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3,0.68,267.12592878400034,0.29411764705882354,3,2,4,3,20,3,0,43.7,0.7213394581196795,2.8499000000000025,6.05008341766686,1,1,2,2,0,2,0,0,0
C[C@@H]1CCN(C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)O)C1,0.4,508.246789252001,0.6086956521739131,11,7,3,12,35,11,0,177.71,0.1618553539085383,0.9125700000000025,8.744786609683544,0,2,2,1,0,1,0,1,1
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@]24OO3,0.22,384.17841785600075,0.8947368421052632,8,1,5,8,27,7,0,100.52000000000002,0.5830734536469286,2.6024000000000003,9.073047092022046,1,4,5,0,0,0,1,4,5
CNC(=O)C[C@H](N)C(=O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O)c1ccc(O)cc1,1.45,493.1631192040007,0.47619047619047616,12,7,3,13,34,13,0,191.15999999999997,0.23751592933960308,-1.3553999999999955,8.347143343319372,0,2,2,1,0,1,0,2,2
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,6.1,266.1630425640003,0.5,5,4,1,5,19,11,0,84.57999999999998,0.6376739781676249,0.45210000000000006,7.603356217942007,0,0,0,1,0,1,0,0,0
COc1c(N2CCC/C(=C(/F)CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,19.64,419.1656626560006,0.42857142857142855,7,3,4,9,30,7,0,97.78999999999999,0.7734252894744681,2.964800000000001,7.735010670336575,1,1,2,1,1,2,1,1,2
CCC[C@@H]1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,17.0,300.15862588000056,0.4375,6,0,3,6,22,6,0,56.220000000000006,0.7856488020836657,2.0642199999999997,5.952105574616567,0,2,2,1,0,1,0,1,1
Cc1ccc(C(=O)N(CCCN)[C@H](c2nc3snc(C)c3c(=O)n2Cc2ccccc2)C(C)C)cc1,16.3,503.2354962960009,0.35714285714285715,7,2,4,8,36,14,0,94.11000000000001,0.3570963970119687,4.706440000000004,8.074321468281141,0,0,0,2,2,4,0,0,0
CN1CCC[C@@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,22.0,381.1607900680006,0.36363636363636365,4,0,4,5,27,4,0,38.13,0.6785525116077089,4.297500000000004,7.360222834814413,0,1,1,2,1,3,0,1,1
Cc1ccc([C@@H](CN)CC(=O)O)cc1,5.24,193.11027872,0.36363636363636365,3,3,1,3,14,6,0,63.32000000000001,0.7614734723571644,1.51202,6.298006305532403,0,0,0,1,0,1,0,0,0
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1,2.6,367.2107210280008,0.5555555555555556,8,2,1,8,26,10,0,91.34,0.8292335988195221,2.2288999999999994,7.54585340933445,0,0,0,1,0,1,0,0,0
CC(C)(C)[C@H](NC(=O)[C@H](CC1CCCC1)CN([O-])C=O)C(=O)N1CCN(Cc2ccc3c(c2)OCO3)CC1,9.4,529.303158611911,0.6785714285714286,10,1,4,10,38,9,0,114.47999999999999,0.3661370684580616,2.743100000000002,8.74943413660888,1,2,3,1,0,1,1,1,2
CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,48.9,668.1804547880009,0.3939393939393939,11,4,7,13,46,14,0,140.49,0.1795297858926122,4.300100000000003,8.629293603465857,0,2,2,3,2,5,0,1,1
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1[C@@H]3CC[C@H]1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)N=S(=O)(O)N(C)C)cc21,5.38,659.3141405400013,0.5555555555555556,10,1,8,11,47,10,0,107.68,0.37598426276166474,5.714700000000006,9.251894530014349,2,3,5,2,1,3,2,2,4
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(Cl)[C@@H](O)C[C@@]21C,0.5,520.222781204001,0.7142857142857143,7,1,4,8,36,12,0,106.97000000000001,0.4149432383701715,4.086800000000004,8.879852075872785,4,0,4,0,0,0,3,0,3
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)N[O-],1.6,317.06015147591035,0.0,6,2,2,7,22,5,0,98.33,0.6515435462232104,2.1146000000000003,7.29756231453758,0,0,0,2,0,2,0,0,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H](N)[C@H](OCc2ccccc2)[C@H](C)O1,34.6,633.2210109400008,0.38235294117647056,12,6,6,12,46,15,0,195.07,0.1778942108105174,2.2257999999999996,8.768461783754518,2,1,3,3,0,3,0,1,1
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO,5.6,392.19990224800074,0.7272727272727273,5,3,4,6,28,8,0,94.83,0.667213496992105,1.8957000000000002,8.720061291822734,4,0,4,0,0,0,3,0,3
CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1,17.0,307.2147437880008,0.6666666666666666,4,2,2,4,22,14,0,50.72,0.6164391834948149,2.3933999999999997,8.215373239800119,1,0,1,1,0,1,1,0,1
COc1ccc(CCNC[C@H](O)COc2cccc(C)c2)cc1OC,1.9,345.19400834400074,0.4,5,2,2,5,25,14,0,59.95,0.6483269657629404,2.584220000000001,7.89262363199886,0,0,0,2,0,2,0,0,0
CCNC(=O)CCC/C=C/C[C@@H]1[C@@H](/C=C/[C@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,0.45,415.272258664001,0.56,5,4,2,5,30,16,0,89.79,0.31184363018252953,3.1469000000000014,8.941034835892948,1,0,1,1,0,1,1,0,1
